id,member_id,loan_amnt,loan_status,dti,fico_range_low,fico_range_high
1077501,1296599,5000,Fully Paid,27.65,735,739
1077430,1314167,2500,Charged Off,1,740,744
1077175,1313524,2400,Fully Paid,8.72,735,739
1076863,1277178,10000,Fully Paid,20,690,694
1075358,1311748,3000,Current,17.94,695,699
1075269,1311441,5000,Fully Paid,11.2,730,734
1069639,1304742,7000,Current,23.51,690,694
1072053,1288686,3000,Fully Paid,5.35,660,664
1071795,1306957,5600,Charged Off,5.55,675,679
1071570,1306721,5375,Charged Off,18.08,725,729
1070078,1305201,6500,Fully Paid,16.12,695,699
1069908,1305008,12000,Fully Paid,10.78,675,679
1064687,1298717,9000,Charged Off,10.08,710,714
1069866,1304956,3000,Fully Paid,12.56,705,709
1069057,1303503,10000,Charged Off,7.06,720,724
1069759,1304871,1000,Fully Paid,20.31,665,669
1065775,1299699,10000,Fully Paid,18.6,670,674
1069971,1304884,3600,Fully Paid,10.52,760,764
1062474,1294539,6000,Fully Paid,18.44,685,689
1069742,1304855,9200,Fully Paid,9.86,755,759
1069740,1284848,20250,Current,26.53,725,729
1039153,1269083,21000,Charged Off,13.22,705,709
1069710,1304821,10000,Fully Paid,11.18,690,694
1069700,1304810,10000,Fully Paid,16.01,710,714
1069559,1304634,6000,Charged Off,2.4,690,694
1069697,1273773,15000,Fully Paid,29.44,730,734
1069800,1304679,15000,Charged Off,15.22,695,699
1069657,1304764,5000,Charged Off,13.97,675,679
1069799,1304678,4000,Fully Paid,5.63,680,684
1047704,1278806,8500,Fully Paid,12.19,695,699
1032111,1261745,4375,Fully Paid,20.34,735,739
1069539,1304608,31825,Fully Paid,14.03,760,764
1065420,1299514,10000,Current,22.83,690,694
1069591,1304289,5000,Fully Paid,11.93,700,704
1069530,1291365,7000,Fully Paid,6.35,675,679
1069522,1304589,12400,Fully Paid,11.8,720,724
1069361,1304255,10800,Fully Paid,5.5,705,709
1069357,1304251,15000,Fully Paid,8.48,730,734
1069356,1304250,6000,Fully Paid,10.62,695,699
1069346,1304237,12500,Current,16.04,735,739
1067573,1301955,9600,Fully Paid,6.63,760,764
1069506,1304567,12000,Fully Paid,16.7,725,729
1069314,1304202,3000,Fully Paid,17.39,670,674
1060578,1292332,4400,Fully Paid,20.01,690,694
1069469,1304526,6000,Fully Paid,5.34,790,794
1051117,1282787,14000,Fully Paid,10,725,729
1069465,1304521,5000,Charged Off,16.33,705,709
1069283,1304166,10000,Fully Paid,11.47,700,704
1069287,1304171,10000,Fully Paid,12.74,790,794
1069453,1303701,11000,Fully Paid,10.85,750,754
1069248,1304123,15000,Default,9.12,730,734
1068120,1302485,25600,Fully Paid,15.71,725,729
1069244,1304117,7000,Fully Paid,7.38,700,704
1069243,1304116,12000,Charged Off,20.88,675,679
1069238,1303909,12000,Fully Paid,8.11,730,734
1069410,1303652,21000,Charged Off,21.58,680,684
1068409,1302790,16000,Fully Paid,20.52,665,669
1068487,1302882,10000,Fully Paid,18.58,685,689
1043961,1274517,10000,Fully Paid,19.14,715,719
1068945,1287308,7100,Fully Paid,24,680,684
1069142,1287810,13000,Current,13.72,730,734
1068934,1277395,17500,Current,19.47,705,709
1069136,1278095,17675,Fully Paid,16.46,720,724
1068923,1303549,8000,Fully Paid,21.64,660,664
1069126,1303778,10000,Current,21.73,755,759
1069102,1303750,3500,Fully Paid,5.39,700,704
1069093,1303740,12500,Charged Off,13.16,690,694
1069030,1303473,16425,Fully Paid,22.71,695,699
1068906,1303528,8200,Charged Off,12.48,675,679
1069073,1303718,15000,Fully Paid,11.88,685,689
1069043,1303486,20975,Fully Paid,18.79,685,689
1060981,1292558,6400,Charged Off,20.22,660,664
1069071,1303716,3000,Fully Paid,18.11,670,674
1069070,1299004,12000,Fully Paid,20.57,675,679
1068893,1303514,14400,Fully Paid,14.85,720,724
1068882,1303303,12000,Fully Paid,16.56,675,679
1069039,1303482,11000,Fully Paid,21.82,690,694
1068416,1302799,7250,Fully Paid,24.82,680,684
1068997,1303437,15000,Fully Paid,9.65,765,769
1048390,1279714,18000,Fully Paid,6.81,660,664
1068994,1303432,35000,Fully Paid,7.51,725,729
1068475,1302869,10000,Fully Paid,15.39,680,684
1068989,1282013,11800,Fully Paid,9.86,690,694
1068967,1303403,4500,Fully Paid,4.44,760,764
1068744,1303379,7000,Fully Paid,11.35,680,684
1045509,1276120,9200,Fully Paid,19.96,700,704
1063958,1297940,14000,Current,6.34,700,704
1041756,1272024,4500,Fully Paid,5.4,750,754
1068694,1303326,12000,Fully Paid,16.85,680,684
1068792,1303200,12000,Fully Paid,21.33,685,689
1068558,1303163,12000,Fully Paid,23.94,700,704
1068322,1302938,7000,Fully Paid,5.38,685,689
1065674,1299785,8200,Fully Paid,2.8,685,689
1068547,1303150,10500,Fully Paid,20.73,695,699
1068545,1303147,7000,Fully Paid,21.01,675,679
1068575,1303001,15300,Current,20.58,670,674
1049528,1280928,20000,Fully Paid,10.04,740,744
1068542,1303143,17500,Charged Off,21.31,700,704
1068350,1302971,3500,Fully Paid,2.31,745,749
1067874,1302235,6000,Current,13.66,695,699
1068509,1302907,6200,Charged Off,20.64,710,714
1034693,1264291,16000,Current,15.56,695,699
1068508,1302906,6000,Fully Paid,13.17,700,704
1066641,1300833,7200,Fully Paid,6.12,695,699
1068315,1302930,9500,Fully Paid,8.18,720,724
1068309,1302924,18825,Charged Off,23.18,700,704
1068326,1302942,24000,Fully Paid,14.8,725,729
1066767,1300950,6000,Fully Paid,11.58,665,669
1068484,1302879,6000,Fully Paid,15.38,690,694
1068292,1302706,2100,Fully Paid,19.72,690,694
1068273,1302680,5500,Fully Paid,9.69,740,744
1068274,1302681,11000,Fully Paid,20.5,735,739
